codigo_cliente,razao,regiao,pauta_atual,codigo_vendedor_atual,lat,lon
C0086,Cliente Vale 0086 LTDA,VALE,PC,V003,-27.115159,-49.344317
C0087,Cliente Vale 0087 LTDA,VALE,PC,V003,-27.152186,-49.32723
C0088,Cliente Vale 0088 LTDA,VALE,PC,V003,-27.1254,-49.374767
C0089,Cliente Vale 0089 LTDA,VALE,PC,V003,-27.182246,-49.355516
C0090,Cliente Vale 0090 LTDA,VALE,PC,V003,-27.156114,-49.352638
C0091,Cliente Norte 0091 LTDA,NORTE,D,V004,-26.281592,-48.828764
C0092,Cliente Norte 0092 LTDA,NORTE,D,V004,-26.256083,-48.886258
C0093,Cliente Norte 0093 LTDA,NORTE,D,V004,-26.314238,-48.86217
C0094,Cliente Norte 0094 LTDA,NORTE,D,V004,-26.268333,-48.871234
C0095,Cliente Norte 0095 LTDA,NORTE,D,V004,-26.335479,-48.851239
C0096,Cliente Norte 0096 LTDA,NORTE,D,V004,-26.312312,-48.868245
C0097,Cliente Norte 0097 LTDA,NORTE,D,V004,-26.329519,-48.803773
C0098,Cliente Norte 0098 LTDA,NORTE,D,V004,-26.310187,-48.809965
C0099,Cliente Norte 0099 LTDA,NORTE,D,V004,-26.299467,-48.891041
C0100,Cliente Norte 0100 LTDA,NORTE,D,V004,-26.254572,-48.812497
C0101,Cliente Norte 0101 LTDA,NORTE,D,V004,-26.2576,-48.803463
C0102,Cliente Norte 0102 LTDA,NORTE,D,V004,-26.26963,-48.879469
C0103,Cliente Norte 0103 LTDA,NORTE,D,V004,-26.305936,-48.874725
C0104,Cliente Norte 0104 LTDA,NORTE,D,V004,-26.314396,-48.890236
C0105,Cliente Norte 0105 LTDA,NORTE,D,V004,-26.316603,-48.797569
C0106,Cliente Norte 0106 LTDA,NORTE,D,V004,-26.32798,-48.817693
C0107,Cliente Norte 0107 LTDA,NORTE,D,V004,-26.308999,-48.853799
C0108,Cliente Norte 0108 LTDA,NORTE,D,V004,-26.258768,-48.796558
C0109,Cliente Norte 0109 LTDA,NORTE,M,V005,-26.274423,-48.878159
C0110,Cliente Norte 0110 LTDA,NORTE,M,V005,-26.31452,-48.920329
C0111,Cliente Norte 0111 LTDA,NORTE,M,V005,-26.233129,-48.892082
C0112,Cliente Norte 0112 LTDA,NORTE,M,V005,-26.27578,-48.875202
C0113,Cliente Norte 0113 LTDA,NORTE,M,V005,-26.324283,-48.891582
C0114,Cliente Norte 0114 LTDA,NORTE,M,V005,-26.279715,-48.864728
C0115,Cliente Norte 0115 LTDA,NORTE,M,V005,-26.314257,-48.853922
C0116,Cliente Norte 0116 LTDA,NORTE,M,V005,-26.321989,-48.931418
C0117,Cliente Norte 0117 LTDA,NORTE,M,V005,-26.270496,-48.882479
C0118,Cliente Norte 0118 LTDA,NORTE,M,V005,-26.30648,-48.938011
C0119,Cliente Norte 0119 LTDA,NORTE,M,V005,-26.240971,-48.925378
C0120,Cliente Norte 0120 LTDA,NORTE,M,V005,-26.270548,-48.888062
C0121,Cliente Norte 0121 LTDA,NORTE,M,V005,-26.288078,-48.891633
C0122,Cliente Norte 0122 LTDA,NORTE,M,V005,-26.277722,-48.856529
C0123,Cliente Norte 0123 LTDA,NORTE,M,V005,-26.309574,-48.878381
C0124,Cliente Norte 0124 LTDA,NORTE,M,V005,-26.306131,-48.910421
C0125,Cliente Norte 0125 LTDA,NORTE,M,V005,-26.262831,-48.92
C0126,Cliente Norte 0126 LTDA,NORTE,M,V005,-26.298382,-48.874814
C0127,Cliente Norte 0127 LTDA,NORTE,PC,V006,-26.372746,-48.824171
C0128,Cliente Norte 0128 LTDA,NORTE,PC,V006,-26.280155,-48.77039
C0129,Cliente Norte 0129 LTDA,NORTE,PC,V006,-26.372674,-48.848685
C0130,Cliente Norte 0130 LTDA,NORTE,PC,V006,-26.35348,-48.776674
C0131,Cliente Norte 0131 LTDA,NORTE,PC,V006,-26.291914,-48.782073
C0132,Cliente Norte 0132 LTDA,NORTE,PC,V006,-26.343047,-48.854225
C0133,Cliente Norte 0133 LTDA,NORTE,PC,V006,-26.296626,-48.799646
C0134,Cliente Norte 0134 LTDA,NORTE,PC,V006,-26.318832,-48.771277
C0135,Cliente Norte 0135 LTDA,NORTE,PC,V006,-26.314602,-48.869218
C0136,Cliente Sul 0136 LTDA,SUL,D,V007,-28.64579,-49.389762
C0137,Cliente Sul 0137 LTDA,SUL,D,V007,-28.661161,-49.325807
C0138,Cliente Sul 0138 LTDA,SUL,D,V007,-28.714071,-49.408157
C0139,Cliente Sul 0139 LTDA,SUL,D,V007,-28.716796,-49.364378
C0140,Cliente Sul 0140 LTDA,SUL,D,V007,-28.700265,-49.359217
C0141,Cliente Sul 0141 LTDA,SUL,D,V007,-28.655739,-49.39934
C0142,Cliente Sul 0142 LTDA,SUL,D,V007,-28.664076,-49.393302
C0143,Cliente Sul 0143 LTDA,SUL,D,V007,-28.678647,-49.329166
C0144,Cliente Sul 0144 LTDA,SUL,D,V007,-28.64289,-49.41047
C0145,Cliente Sul 0145 LTDA,SUL,D,V007,-28.685142,-49.392032
C0146,Cliente Sul 0146 LTDA,SUL,D,V007,-28.727145,-49.342588
C0147,Cliente Sul 0147 LTDA,SUL,D,V007,-28.663789,-49.393504
C0148,Cliente Sul 0148 LTDA,SUL,D,V007,-28.653377,-49.364532
C0149,Cliente Sul 0149 LTDA,SUL,D,V007,-28.684731,-49.418733
C0150,Cliente Sul 0150 LTDA,SUL,D,V007,-28.719976,-49.331389
C0151,Cliente Sul 0151 LTDA,SUL,M,V008,-28.599607,-49.415441
C0152,Cliente Sul 0152 LTDA,SUL,M,V008,-28.60654,-49.411749
C0153,Cliente Sul 0153 LTDA,SUL,M,V008,-28.675191,-49.457255
C0154,Cliente Sul 0154 LTDA,SUL,M,V008,-28.659174,-49.380102
C0155,Cliente Sul 0155 LTDA,SUL,M,V008,-28.610388,-49.38393
C0156,Cliente Sul 0156 LTDA,SUL,M,V008,-28.600108,-49.448992
C0157,Cliente Sul 0157 LTDA,SUL,M,V008,-28.665047,-49.459721
C0158,Cliente Sul 0158 LTDA,SUL,M,V008,-28.611988,-49.381587
C0159,Cliente Sul 0159 LTDA,SUL,M,V008,-28.649362,-49.407934
C0160,Cliente Sul 0160 LTDA,SUL,M,V008,-28.674545,-49.377012
C0161,Cliente Sul 0161 LTDA,SUL,M,V008,-28.603539,-49.372379
C0162,Cliente Sul 0162 LTDA,SUL,M,V008,-28.608923,-49.381858
C0163,Cliente Sul 0163 LTDA,SUL,M,V008,-28.687521,-49.396344
C0164,Cliente Sul 0164 LTDA,SUL,M,V008,-28.656781,-49.376918
C0165,Cliente Sul 0165 LTDA,SUL,M,V008,-28.609776,-49.383594
